quarter,producer_price
Q1-1913,12.033333333333333
Q2-1913,11.933333333333332
Q3-1913,12.066666666666668
Q4-1913,12.066666666666668
Q1-1914,11.766666666666666
Q2-1914,11.633333333333333
Q3-1914,11.9
Q4-1914,11.666666666666666
Q1-1915,11.800000000000002
Q2-1915,11.833333333333334
Q3-1915,11.833333333333334
Q4-1915,12.4
Q1-1916,13.566666666666668
Q2-1916,14.200000000000001
Q3-1916,14.700000000000001
Q4-1916,16.533333333333335
Q1-1917,18.033333333333335
Q2-1917,20.5
Q3-1917,21.333333333333332
Q4-1917,21.166666666666668
Q1-1918,21.5
Q2-1918,22.133333333333336
Q3-1918,23.2
Q4-1918,23.5
Q1-1919,22.733333333333334
Q2-1919,23.2
Q3-1919,24.5
Q4-1919,25.099999999999998
Q1-1920,27.2
Q2-1920,28.666666666666668
Q3-1920,27.733333333333334
Q4-1920,22.900000000000002
Q1-1921,18.46666666666667
Q2-1921,16.566666666666666
Q3-1921,16.1
Q4-1921,16.133333333333333
Q1-1922,15.9
Q2-1922,16.433333333333334
Q3-1922,17.066666666666666
Q4-1922,17.266666666666666
Q1-1923,17.8
Q2-1923,17.566666666666666
Q3-1923,17.03333333333333
Q4-1923,17.0
Q1-1924,17.133333333333333
Q2-1924,16.53333333333333
Q3-1924,16.633333333333333
Q4-1924,17.166666666666668
Q1-1925,17.833333333333332
Q2-1925,17.566666666666666
Q3-1925,17.900000000000002
Q4-1925,17.866666666666667
Q1-1926,17.566666666666666
Q2-1926,17.3
Q3-1926,17.133333333333336
Q4-1926,17.0
Q1-1927,16.5
Q2-1927,16.233333333333334
Q3-1927,16.400000000000002
Q4-1927,16.633333333333336
Q1-1928,16.533333333333335
Q2-1928,16.733333333333334
Q3-1928,16.866666666666667
Q4-1928,16.566666666666666
Q1-1929,16.5
Q2-1929,16.400000000000002
Q3-1929,16.6
Q4-1929,16.2
Q1-1930,15.700000000000001
Q2-1930,15.266666666666666
Q3-1930,14.5
Q4-1930,14.0
Q1-1931,13.266666666666666
Q2-1931,12.633333333333333
Q3-1931,12.366666666666667
Q4-1931,12.0
Q1-1932,11.466666666666667
Q2-1932,11.133333333333333
Q3-1932,11.200000000000001
Q4-1932,10.966666666666667
Q1-1933,10.4
Q2-1933,10.799999999999999
Q3-1933,12.033333333333333
Q4-1933,12.266666666666666
Q1-1934,12.6
Q2-1934,12.766666666666666
Q3-1934,13.166666666666666
Q4-1934,13.233333333333334
Q1-1935,13.666666666666666
Q2-1935,13.800000000000002
Q3-1935,13.833333333333334
Q4-1935,13.933333333333332
Q1-1936,13.833333333333334
Q2-1936,13.633333333333333
Q3-1936,13.966666666666667
Q4-1936,14.233333333333334
Q1-1937,14.933333333333332
Q2-1937,15.1
Q3-1937,15.133333333333333
Q4-1937,14.4
Q1-1938,13.833333333333334
Q2-1938,13.5
Q3-1938,13.5
Q4-1938,13.366666666666667
Q1-1939,13.266666666666666
Q2-1939,13.066666666666668
Q3-1939,13.166666666666666
Q4-1939,13.666666666666666
Q1-1940,13.6
Q2-1940,13.466666666666667
Q3-1940,13.4
Q4-1940,13.700000000000001
Q1-1941,13.933333333333332
Q2-1941,14.666666666666666
Q3-1941,15.566666666666668
Q4-1941,16.0
Q1-1942,16.666666666666668
Q2-1942,17.0
Q3-1942,17.099999999999998
Q4-1942,17.3
Q1-1943,17.666666666666668
Q2-1943,17.9
Q3-1943,17.8
Q4-1943,17.766666666666666
Q1-1944,17.833333333333332
Q2-1944,17.933333333333334
Q3-1944,17.9
Q4-1944,17.966666666666665
Q1-1945,18.1
Q2-1945,18.266666666666666
Q3-1945,18.2
Q4-1945,18.333333333333332
Q1-1946,18.566666666666666
Q2-1946,19.166666666666668
Q3-1946,21.7
Q4-1946,23.833333333333332
Q1-1947,24.833333333333332
Q2-1947,25.03333333333333
Q3-1947,25.666666666666668
Q4-1947,26.766666666666666
Q1-1948,27.366666666666664
Q2-1948,27.53333333333333
Q3-1948,28.099999999999998
Q4-1948,27.733333333333334
Q1-1949,26.96666666666667
Q2-1949,26.266666666666666
Q3-1949,26.03333333333333
Q4-1949,25.96666666666667
Q1-1950,26.03333333333333
Q2-1950,26.366666666666664
Q3-1950,27.866666666666664
Q4-1950,29.099999999999998
Q1-1951,30.766666666666666
Q2-1951,30.666666666666668
Q3-1951,30.166666666666668
Q4-1951,30.100000000000005
Q1-1952,29.866666666666664
Q2-1952,29.566666666666666
Q3-1952,29.666666666666668
Q4-1952,29.3
Q1-1953,29.133333333333336
Q2-1953,29.03333333333333
Q3-1953,29.366666666666664
Q4-1953,29.166666666666668
Q1-1954,29.333333333333332
Q2-1954,29.333333333333332
Q3-1954,29.266666666666666
Q4-1954,29.099999999999998
Q1-1955,29.233333333333334
Q2-1955,29.233333333333334
Q3-1955,29.433333333333334
Q4-1955,29.53333333333333
Q1-1956,29.8
Q2-1956,30.233333333333334
Q3-1956,30.400000000000002
Q4-1956,30.7
Q1-1957,31.0
Q2-1957,31.066666666666666
Q3-1957,31.333333333333332
Q4-1957,31.3
Q1-1958,31.566666666666666
Q2-1958,31.633333333333336
Q3-1958,31.600000000000005
Q4-1958,31.566666666666666
Q1-1959,31.7
Q2-1959,31.766666666666666
Q3-1959,31.666666666666668
Q4-1959,31.53333333333333
Q1-1960,31.666666666666668
Q2-1960,31.733333333333334
Q3-1960,31.633333333333336
Q4-1960,31.7
Q1-1961,31.8
Q2-1961,31.46666666666667
Q3-1961,31.5
Q4-1961,31.53333333333333
Q1-1962,31.7
Q2-1962,31.53333333333333
Q3-1962,31.7
Q4-1962,31.666666666666668
Q1-1963,31.53333333333333
Q2-1963,31.5
Q3-1963,31.633333333333336
Q4-1963,31.633333333333336
Q1-1964,31.666666666666668
Q2-1964,31.53333333333333
Q3-1964,31.633333333333336
Q4-1964,31.7
Q1-1965,31.866666666666664
Q2-1965,32.166666666666664
Q3-1965,32.4
Q4-1965,32.63333333333333
Q1-1966,33.1
Q2-1966,33.233333333333334
Q3-1966,33.56666666666667
Q4-1966,33.333333333333336
Q1-1967,33.36666666666667
Q2-1967,33.300000000000004
Q3-1967,33.43333333333333
Q4-1967,33.5
Q1-1968,33.96666666666667
Q2-1968,34.166666666666664
Q3-1968,34.300000000000004
Q4-1968,34.5
Q1-1969,35.0
Q2-1969,35.5
Q3-1969,35.766666666666666
Q4-1969,36.1
Q1-1970,36.63333333333333
Q2-1970,36.833333333333336
Q3-1970,37.03333333333333
Q4-1970,37.1
Q1-1971,37.6
Q2-1971,38.06666666666667
Q3-1971,38.36666666666667
Q4-1971,38.4
Q1-1972,39.06666666666667
Q2-1972,39.5
Q3-1972,40.1
Q4-1972,40.5
Q1-1973,42.46666666666667
Q2-1973,44.53333333333333
Q3-1973,46.36666666666667
Q4-1973,46.73333333333333
Q1-1974,49.86666666666667
Q2-1974,51.6
Q3-1974,55.26666666666667
Q4-1974,57.199999999999996
Q1-1975,57.166666666666664
Q2-1975,57.800000000000004
Q3-1975,59.03333333333333
Q4-1975,59.666666666666664
Q1-1976,59.93333333333334
Q2-1976,60.86666666666667
Q3-1976,61.6
Q4-1976,62.13333333333333
Q1-1977,63.46666666666666
Q2-1977,65.03333333333335
Q3-1977,65.13333333333333
Q4-1977,65.86666666666666
Q1-1978,67.46666666666665
Q2-1978,69.5
Q3-1978,70.60000000000001
Q4-1978,72.2
Q1-1979,74.83333333333333
Q2-1979,77.46666666666667
Q3-1979,79.89999999999999
Q4-1979,82.7
Q1-1980,86.53333333333335
Q2-1980,88.26666666666667
Q3-1980,91.16666666666667
Q4-1980,93.26666666666667
Q1-1981,96.10000000000001
Q2-1981,98.26666666666667
Q3-1981,98.93333333333334
Q4-1981,98.83333333333333
Q1-1982,99.7
Q2-1982,99.8
Q3-1982,100.23333333333333
Q4-1982,100.33333333333333
Q1-1983,100.36666666666667
Q2-1983,100.73333333333333
Q3-1983,101.7
Q4-1983,102.2
Q1-1984,103.33333333333333
Q2-1984,104.03333333333335
Q3-1984,103.8
Q4-1984,103.53333333333335
Q1-1985,103.26666666666667
Q2-1985,103.36666666666667
Q3-1985,102.66666666666667
Q4-1985,103.3
Q1-1986,101.73333333333333
Q2-1986,99.83333333333333
Q3-1986,99.36666666666667
Q4-1986,99.73333333333333
Q1-1987,100.89999999999999
Q2-1987,102.5
Q3-1987,103.66666666666667
Q4-1987,104.16666666666667
Q1-1988,104.76666666666667
Q2-1988,106.5
Q3-1988,108.0
Q4-1988,108.5
Q1-1989,110.93333333333334
Q2-1989,112.8
Q3-1989,112.39999999999999
Q4-1989,112.83333333333333
Q1-1990,114.5
Q2-1990,114.33333333333333
Q3-1990,116.46666666666665
Q4-1990,119.86666666666667
Q1-1991,117.46666666666665
Q2-1991,116.3
Q3-1991,116.13333333333333
Q4-1991,116.23333333333335
Q1-1992,115.89999999999999
Q2-1992,117.16666666666667
Q3-1992,117.86666666666667
Q4-1992,117.83333333333333
Q1-1993,118.36666666666667
Q2-1993,119.5
Q3-1993,118.86666666666667
Q4-1993,118.89999999999999
Q1-1994,119.36666666666667
Q2-1994,120.03333333333335
Q3-1994,120.96666666666665
Q4-1994,121.43333333333334
Q1-1995,123.43333333333334
Q2-1995,124.93333333333334
Q3-1995,125.2
Q4-1995,125.46666666666665
Q1-1996,126.3
Q2-1996,127.83333333333333
Q3-1996,128.16666666666666
Q4-1996,128.4333333333333
Q1-1997,128.5
Q2-1997,127.2
Q3-1997,127.2
Q4-1997,127.5
Q1-1998,125.03333333333335
Q2-1998,124.93333333333334
Q3-1998,124.3
Q4-1998,123.46666666666665
Q1-1999,122.60000000000001
Q2-1999,124.5
Q3-1999,126.86666666666667
Q4-1999,127.93333333333334
Q1-2000,129.63333333333335
Q2-2000,132.03333333333333
Q3-2000,133.76666666666665
Q4-2000,135.53333333333333
Q1-2001,137.76666666666668
Q2-2001,136.23333333333335
Q3-2001,133.36666666666667
Q4-2001,129.4
Q1-2002,128.9
Q2-2002,130.83333333333334
Q3-2002,131.66666666666666
Q4-2002,133.06666666666666
Q1-2003,138.03333333333333
Q2-2003,137.16666666666666
Q3-2003,138.06666666666666
Q4-2003,139.23333333333335
Q1-2004,142.20000000000002
Q2-2004,146.26666666666668
Q3-2004,147.70000000000002
Q4-2004,150.53333333333333
Q1-2005,152.06666666666666
Q2-2005,154.53333333333333
Q3-2005,158.70000000000002
Q4-2005,164.29999999999998
Q1-2006,162.76666666666668
Q2-2006,165.4
Q3-2006,166.70000000000002
Q4-2006,164.13333333333333
Q1-2007,166.70000000000002
Q2-2007,172.83333333333334
Q3-2007,173.66666666666666
Q4-2007,177.4333333333333
Q1-2008,183.86666666666667
Q2-2008,196.0
Q3-2008,200.46666666666667
Q4-2008,178.03333333333333
Q1-2009,169.53333333333333
Q2-2009,171.33333333333334
Q3-2009,173.86666666666667
Q4-2009,176.9
Q1-2010,182.0666666666667
Q2-2010,184.23333333333335
Q3-2010,184.63333333333333
Q4-2010,188.0
Q1-2011,195.9
Q2-2011,203.70000000000002
Q3-2011,203.83333333333334
Q4-2011,200.76666666666665
Q1-2012,202.16666666666666
Q2-2012,201.79999999999998
Q3-2012,202.4
Q4-2012,202.26666666666665
Q1-2013,203.6
Q2-2013,203.96666666666667
Q3-2013,204.16666666666666
Q4-2013,201.9
Q1-2014,205.5
Q2-2014,208.20000000000002
Q3-2014,207.13333333333333
Q4-2014,200.4333333333333
Q1-2015,191.53333333333333
Q2-2015,193.03333333333333
Q3-2015,191.63333333333333
Q4-2015,185.5666666666667
Q1-2016,182.0
Q2-2016,185.36666666666667
Q3-2016,187.0666666666667
Q4-2016,187.0666666666667
Q1-2017,191.26666666666665
Q2-2017,193.13333333333333
Q3-2017,194.03333333333333
Q4-2017,195.70000000000002
Q1-2018,198.83333333333334
Q2-2018,202.5666666666667
Q3-2018,203.76666666666665
Q4-2018,202.63333333333333
Q1-2019,199.70000000000002
Q2-2019,201.36666666666667
Q3-2019,199.4333333333333
Q4-2019,198.86666666666667
Q1-2020,196.36666666666667
Q2-2020,188.4333333333333
Q3-2020,194.26666666666665
Q4-2020,198.4333333333333
Q1-2021,210.13333333333333
Q2-2021,223.9
Q3-2021,233.64766666666665
Q4-2021,241.6966666666667
Q1-2022,253.04233333333332
Q2-2022,272.9373333333333
Q3-2022,269.906
Q4-2022,262.03833333333336
Q1-2023,258.6526666666667
Q2-2023,254.81266666666667
Q3-2023,256.8163333333334
Q4-2023,252.638
Q1-2024,253.77566666666667
Q2-2024,256.0683333333333
Q3-2024,255.15600000000003
Q4-2024,253.24
